reponame,coefficient_of_variation
golang/go,3.8286156996256295
kubernetes/kubernetes,1.8400974214108126
gohugoio/hugo,4.498117619619469
astaxie/build-web-application-with-golang,4.0563977874744905
gin-gonic/gin,1.9496209565578733
gogs/gogs,4.975869690170643
fatedier/frp,0.11313708498984759
syncthing/syncthing,3.502584487321037
etcd-io/etcd,3.421771250158179
prometheus/prometheus,2.7098556499318813
containous/traefik,2.3589785716037315
junegunn/fzf,1.6752132865863845
caddyserver/caddy,4.042565149961546
ethereum/go-ethereum,3.4388712460616593
v2ray/v2ray-core,1.0760572320916795
astaxie/beego,3.954591855350366
pingcap/tidb,2.195114460655207
FiloSottile/mkcert,0.8585858585858586
istio/istio,1.443021510248106
drone/drone,5.111974469059019
hashicorp/terraform,3.876475310509001
minio/minio,2.3824568405532878
unknwon/the-way-to-go_ZH_CN,2.6341333709626915
github/hub,2.80021061020749
influxdata/influxdb,1.928420376009438
hashicorp/consul,2.4444573682305792
inconshreveable/ngrok,0.9647887323943662
wagoodman/dive,1.3964842794088261
cockroachdb/cockroach,2.1246635627535833
go-gitea/gitea,4.020058398916189
rclone/rclone,4.223389150845133
mattermost/mattermost-server,3.043665263578165
kataras/iris,2.3468039809534744
nsqio/nsq,2.275416706790373
kubernetes/minikube,3.1311088585199793
openfaas/faas,3.6514344086011636
jinzhu/gorm,2.5308757525857613
labstack/echo,2.648986562958191
yeasy/docker_practice,1.3766958634949369
go-kit/kit,2.766800221228203
helm/helm,2.802505373228287
spf13/cobra,1.3493690989061289
hashicorp/vault,4.161357351586287
joewalnes/websocketd,0.2361111111111111
jesseduffield/lazygit,2.1947252625832383
yudai/gotty,0.0
rancher/rancher,1.2805935977055212
cayleygraph/cayley,1.7752769687553813
tsenart/vegeta,1.3123771737476853
sirupsen/logrus,2.2148613187677406
golang/dep,3.8996879401970297
go-delve/delve,2.160920608600713
jesseduffield/lazydocker,1.6002293088279946
urfave/cli,1.7716417963770485
buger/goreplay,2.1116884944596412
zyedidia/micro,3.296511905849262
dgraph-io/dgraph,1.7268945693462259
revel/revel,2.36192110672402
tmrts/go-patterns,0.7096774193548387
xtaci/kcptun,0.0
helm/charts,3.1429076792606057
wtfutil/wtf,3.1899517730659466
go-martini/martini,1.6096529031760498
valyala/fasthttp,2.2098191735166255
coreybutler/nvm-windows,0.0
fogleman/primitive,0.0
txthinking/brook,0.0
CodisLabs/codis,0.8623080701587584
gorilla/mux,1.2255224181460118
gorilla/websocket,1.2442032455022292
julienschmidt/httprouter,0.0
boltdb/bolt,1.7191454440575158
spf13/viper,0.8263597100357508
kubernetes/kops,4.745478826457538
micro/go-micro,2.584987569011261
grpc/grpc-go,2.722272075300856
google/grumpy,1.0227060596482247
google/cadvisor,1.8150900331440196
goharbor/harbor,1.7359417428218782
chai2010/advanced-go-programming-book,1.5132936095177847
rancher/k3s,1.5931870237438828
hashicorp/packer,4.33040704189849
jaegertracing/jaeger,1.6496059872978435
gizak/termui,1.3472034564155264
gocolly/colly,2.157555916499102
google/gvisor,1.085167830274159
bcicen/ctop,1.3043068189679916
hyperledger/fabric,2.1212805686928573
esimov/caire,0.0
dutchcoders/transfer.sh,0.9369955827424977
vitessio/vitess,3.6423870610739177
ipfs/go-ipfs,2.9474952086596615
stretchr/testify,1.5220943445698842
rkt/rkt,2.020376562191935
gopherjs/gopherjs,1.7724120686933005
chrislusf/seaweedfs,2.9215460761806047
cnlh/nps,0.7358490566037735
quii/learn-go-with-tests,2.572795582325524
restic/restic,5.044103905745306
go-sql-driver/mysql,1.8839880123016322
asciimoo/wuzz,1.6276847556177403
iawia002/annie,0.9796747967479674
dinedal/textql,0.0
uber-go/zap,0.8475035261561066
elastic/beats,2.345740589663566
PuerkitoBio/goquery,0.8955823293172691
GoogleContainerTools/skaffold,2.32372742111363
apex/apex,1.2464114218134847
golang/groupcache,0.42857142857142855
cyfdecyf/cow,0.9865642994241842
Masterminds/glide,2.1508603808178206
grafana/loki,1.1299872578083014
influxdata/telegraf,4.184917654098075
git-lfs/git-lfs,2.839191797063111
gravitational/teleport,1.6359003945277502
Netflix/chaosmonkey,0.8490566037735849
ory/hydra,2.5672683706051025
flynn/flynn,2.247480905141165
apex/up,0.0
go-redis/redis,2.09474117048719
jmoiron/sqlx,1.3108456647835534
grpc-ecosystem/grpc-gateway,1.8386699231677863
andlabs/ui,0.0
bilibili/kratos,1.533628868668885
attic-labs/noms,1.8547232467494479
emirpasic/gods,1.2741418949739058
rakyll/hey,1.4042758794055503
future-architect/vuls,2.570056167701032
micro/micro,1.7245963971713074
openshift/origin,3.0219146888429957
fyne-io/fyne,2.2073738281868076
nats-io/nats-server,2.1639850386943102
unknwon/go-fundamental-programming,0.0
sjwhitworth/golearn,1.401427236993341
sqshq/sampler,0.9583333333333334
dgraph-io/badger,1.5123882419200139
kelseyhightower/confd,2.226057683327764
gomodule/redigo,1.289446646015708
google/go-cloud,1.5134422990203629
go-chi/chi,0.7242661843133082
tidwall/tile38,1.8375498862402675
shadowsocks/shadowsocks-go,1.3814586988095532
dgrijalva/jwt-go,1.2416171087982935
urfave/negroni,0.9460707016564718
therecipe/qt,0.0
opencontainers/runc,2.530571827061232
json-iterator/go,1.6794023696655114
kubernetes/dashboard,2.519047387266542
rook/rook,2.722737234223835
ardanlabs/gotraining,2.611939369564642
tylertreat/comcast,0.8412698412698413
bettercap/bettercap,1.0012474692342175
hoanhan101/ultimate-go,0.0
cjbassi/gotop,0.9747474747474747
sosedoff/pgweb,2.1207634262321142
keybase/client,1.3177893334578858
blevesearch/bleve,2.0092719723951693
henrylee2cn/pholcus,0.0
kubernetes/ingress-nginx,3.779731529350691
usefathom/fathom,1.301675120763279
gdrive-org/gdrive,0.9606299212598425
filebrowser/filebrowser,1.3773850573460709
polaris1119/The-Golang-Standard-Library-by-Example,1.4257161828587186
hybridgroup/gobot,3.0863576064547353
coreos/clair,1.4412907692361117
fabiolb/fabio,2.2224440865081894
linuxkit/linuxkit,3.163191383031887
tomnomnom/gron,0.0
docker/swarm,2.1182887872035363
weaveworks/weave,1.885555442709257
jroimartin/gocui,0.0
teh-cmc/go-internals,0.0
tools/godep,0.23880597014925373
XiaoMi/soar,1.374112331273832
graphql-go/graphql,2.1178515581422968
golang/protobuf,1.8248649462439617
rancher/os,1.1196149080433957
loadimpact/k6,0.8843624628908868
peco/peco,2.307954544269782
docker/machine,2.3802134850214496
go-xorm/xorm,1.9336335095554997
mailhog/MailHog,0.9212598425196851
casbin/casbin,1.9053395152385773
cheat/cheat,2.879214636360668
lib/pq,1.2996679025202498
hashicorp/nomad,3.126430700658498
direnv/direnv,1.6558601869423921
developer-learning/night-reading-go,2.4752822510215315
simeji/jid,0.0
tidwall/gjson,0.0
upspin/upspin,1.383808677680608
aws/aws-sdk-go,2.3296822273574618
Workiva/go-datastructures,0.6050282479967325
kubernetes/community,3.933794600103973
pkg/errors,0.0
zricethezav/gitleaks,1.2954633041904926
google/go-github,2.2701751478156362
kubeless/kubeless,1.9019545007666399
open-falcon/falcon-plus,1.1469666709973303
cloudson/gitql,1.2875551696968894
smartystreets/goconvey,2.0482696725019673
yeasy/blockchain_guide,0.9096045197740112
gobuffalo/buffalo,2.44153255195349
GoesToEleven/GolangTraining,0.0
rancher/os,1.1196149080433957
coredns/coredns,3.059431115930935
Shopify/sarama,2.928167472420896
360EntSecGroup-Skylar/excelize,0.3149603149604724
docker/distribution,2.6136787810639386
TykTechnologies/tyk,1.5356018348262288
rqlite/rqlite,1.4015716056176741
robertkrimen/otto,1.031267430574204
erroneousboat/slack-term,0.9591836734693877
kardianos/govendor,0.9558823529411765
bitly/oauth2_proxy,1.3457615656677988
go-ego/riot,0.0
google/seesaw,0.48332183894378294
DNSCrypt/dnscrypt-proxy,1.846560234109086
yinghuocho/firefly-proxy,0.0
robfig/cron,0.8541666666666666
tinygo-org/tinygo,2.1725007277089103
flike/kingshard,1.4759632636199167
rakyll/boom,1.160757033468277
goreleaser/goreleaser,3.360867168924734
linkerd/linkerd2,1.0818626431153981
containerd/containerd,2.6973275400857855
hashicorp/serf,1.8990518594818662
nsf/gocode,0.7371091820695146
zserge/lorca,0.0
inlets/inlets,0.935064935064935
coreos/flannel,2.02899345373174
akavel/up,0.9107142857142857
fission/fission,2.0175027292373726
gcla/termshark,0.971830985915493
xo/usql,0.0
GoogleContainerTools/kaniko,1.077690491106527
schollz/find,0.9614147909967846
cloudflare/cfssl,1.6506817970855736
ponzu-cms/ponzu,1.9100651107730895
cilium/cilium,1.7283903975420747
src-d/go-git,2.7077340479927683
fiorix/freegeoip,0.9648093841642229
thanos-io/thanos,2.2075618430408444
containrrr/watchtower,1.1305928490175863
jetstack/cert-manager,3.197113688751575
kubernetes/kompose,1.385585800015449
olivere/elastic,1.6929105114045637
Dreamacro/clash,1.3778266959955123
concourse/concourse,4.772695865338802
davecheney/httpstat,1.1874092927050752
wallix/awless,1.3646466694628798
facebookarchive/grace,0.0
go-swagger/go-swagger,4.244269842593943
adnanh/webhook,1.8266703546800587
google/gxui,1.3459474194331151
cdr/sshcode,0.6939880755990122
perkeep/perkeep,4.839256211229771
fnproject/fn,1.599996381793406
dragonflyoss/Dragonfly,2.016614626317079
gotify/server,0.8918918918918919
fogleman/nes,0.0
gliderlabs/registrator,1.4277318737237432
shirou/gopsutil,3.5101844723446147
lightningnetwork/lnd,3.464302458980779
photoprism/photoprism,0.5595105672969967
gophish/gophish,1.875230514712917
Shopify/toxiproxy,1.0194113930478015
ginuerzh/gost,0.9504504504504504
qor/qor,2.130922100976053
google/git-appraise,1.5331550210537908
coyove/goflyway,0.0
kubernetes-sigs/kustomize,2.675708426933088
smallnest/rpcx,0.0
russross/blackfriday,1.426161671648456
alibaba/pouch,2.001223477292502
dapr/dapr,1.1926467632542994
miekg/dns,3.2414058513116157
pachyderm/pachyderm,2.3476325385385763
argoproj/argo,1.9059433226114528
muesli/beehive,2.320338017888345
MontFerret/ferret,1.7775923916195755
pulumi/pulumi,2.120664516933578
go-playground/validator,1.5824918630795322
jpillora/cloud-torrent,0.8441558441558441
chromedp/chromedp,0.00702576112412178
lxn/walk,2.593456235461613
fsnotify/fsnotify,0.8687119371982187
appleboy/gorush,0.0
golangci/golangci-lint,1.8814478872556546
uber/prototool,0.18181818181818182
dexidp/dex,1.754993244029663
centrifugal/centrifugo,1.309721131836886
eranyanay/1m-go-websockets,0.0
gliderlabs/logspout,1.1228713506453276
Jguer/yay,1.921901750086559
golang/mobile,1.185209535955861
gaia-pipeline/gaia,0.775516275831602
weaveworks/scope,1.412089736975509
asaskevich/govalidator,2.0590793596971046
b3log/pipe,0.7441020496771842
tektoncd/pipeline,1.6064868922136244
dropbox/godropbox,1.8545059819556904
HFO4/gameboy.live,0.7704918032786885
microsoft/ethr,0.64
tidwall/evio,0.0
mmcgrana/gobyexample,1.7849731649789953
derailed/k9s,1.2878609200269253
Terry-Mao/goim,1.18369955689734
prometheus/node_exporter,1.5372524851623675
hashicorp/consul-template,1.3333249168610342
go-acme/lego,1.7440740704796662
uber-archive/go-torch,0.4603630701724464
alexflint/gallium,0.0
btcsuite/btcd,2.544978631099987
tealeg/xlsx,1.2864586011429755
adonovan/gopl.io,0.0
shazow/ssh-chat,2.1412454090876154
RichardKnop/machinery,2.377364346790462
rgburke/grv,0.0
spiral/roadrunner,1.629698666413408
Azure/draft,2.020278999089174
goadesign/goa,3.0835620521198037
tj/node-prune,0.8387096774193549
kubernetes-sigs/kind,2.1904840112416557
twitchtv/twirp,1.5523253858382615
mongodb/mongo-go-driver,1.446869465432179
elves/elvish,2.3913590805539178
kashav/fsql,0.0
zenazn/goji,0.8990825688073395
alecthomas/gometalinter,1.6482054333178795
docker/docker-ce,3.3484836496935473
nsf/termbox-go,0.08333333333333333
contribsys/faktory,2.227722410534468
coreos/prometheus-operator,3.2743586555508766
rivo/tview,0.9351851851851852
emicklei/go-restful,2.106980437481125
99designs/gqlgen,2.094456922032807
travisjeffery/jocko,0.0
go-yaml/yaml,0.9329219240050382
mitchellh/gox,0.8367346938775511
fanpei91/torsniff,0.0
davecgh/go-spew,0.8861788617886179
motemen/gore,0.6718488176991816
jpmorganchase/quorum,3.7322973421542898
gchaincl/httplab,0.0
aelsabbahy/goss,0.9413919413919414
gomatcha/matcha,0.0
google/gops,0.9
onsi/ginkgo,1.565099908102421
jwilder/docker-gen,1.4027578521743285
huichen/wukong,0.8876404494382022
mozilla-services/heka,3.1508455480721884
hoisie/web,0.8709677419354839
elazarl/goproxy,1.3302234205583747
schollz/find3,0.0
jung-kurt/gofpdf,2.148333645618652
docker-slim/docker-slim,1.3326474443923138
igrigorik/ga-beacon,0.0
syndtr/goleveldb,1.5538329161441593
ant0ine/go-json-rest,0.0
satori/go.uuid,0.0
lifei6671/mindoc,0.9673590504451038
EasyDarwin/EasyDarwin,0.18518518518518517
jpillora/chisel,0.0
lucas-clemente/quic-go,0.5825513568348973
tendermint/tendermint,2.9779274887603493
oxequa/realize,0.9765013054830287
sql-machine-learning/sqlflow,1.1123353444741257
burke/zeus,1.8934183542528766
MichaelMure/git-bug,1.9812797938057118
OWASP/Go-SCP,0.9119496855345912
terraform-providers/terraform-provider-aws,6.01411802309916
golang/lint,1.350681822416097
DisposaBoy/GoSublime,0.4444444444444444
containers/libpod,2.0157555686345123
vmware-tanzu/velero,1.6568950019656588
go-flutter-desktop/go-flutter,0.5497061676462247
go-pg/pg,1.685958300623734
gogo/protobuf,2.6245772003273475
ansible-semaphore/semaphore,1.401830432198389
gonum/gonum,1.4759160851089865
name5566/leaf,0.0
golang/mock,1.1204576434711193
patrickmn/go-cache,0.0
meshbird/meshbird,0.35714285714285715
go-gorp/gorp,1.433743915237347
tsuru/tsuru,2.632354152126146
github/orchestrator,3.6185371622300027
fluxcd/flux,1.8512224501503793
gruntwork-io/terragrunt,2.8444370597015856
golang/tools,1.8170906241020834
golang-migrate/migrate,1.9109464427610359
codegangsta/gin,0.7009345794392523
astaxie/go-best-practice,0.0
variadico/noti,0.0
jenkins-x/jx,2.8062188082899024
dvyukov/go-fuzz,2.2585589317975385
siddontang/ledisdb,1.5585247366429413
ha/doozerd,1.6254771020284822
fatih/color,0.0
maxence-charriere/app,0.0
gruntwork-io/terratest,1.8170963084500436
adtac/commento,0.9477434679334917
anacrolix/torrent,1.967472461798968
mozilla/sops,2.0993807533052418
yuin/gopher-lua,1.536888910228866
knadh/listmonk,1.293324862403124
letsencrypt/boulder,1.901172218135461
google/gopacket,3.186501344179345
googollee/go-socket.io,0.8166585360182661
uber/kraken,0.9492882385233047
progrium/localtunnel,0.9210526315789473
vmware-tanzu/octant,0.9040894970851325
nuclio/nuclio,2.082796932099095
goproxyio/goproxy,0.8973131124592576
tianon/gosu,0.0
hashicorp/raft,2.4647220937356575
Tencent/bk-cmdb,1.023051902642754
uber/cadence,0.6840847934010715
bitly/go-simplejson,0.49019607843137253
manifoldco/promptui,0.8819171036881969
graph-gophers/graphql-go,1.8974247607834782
michenriksen/aquatone,0.914300415048872
hasura/gitkube,0.1267605633802817
ffhelicopter/Go42,0.0
jwilder/dockerize,0.8695652173913043
goby-lang/goby,2.419511918249316
claudiodangelis/qr-filetransfer,1.3287499378733514
gopasspw/gopass,1.634459160817371
AsynkronIT/protoactor-go,2.0722096806223975
gwuhaolin/lightsocks,0.5
nytimes/gizmo,1.9365815629866303
gorgonia/gorgonia,1.3421196443441508
davyxu/cellnet,0.0
BurntSushi/toml,1.02263746833064
windmilleng/tilt,1.0537777576062628
vugu/vugu,0.881578947368421
google/pprof,1.032208753089004
bosun-monitor/bosun,2.284850876767761
cortesi/devd,0.0
go-macaron/macaron,0.0
gomods/athens,1.4362852819985175
wercker/stern,0.4215855488510014
crawlab-team/crawlab,1.2579185520361988
securego/gosec,1.4685447205257443
asticode/go-astilectron,0.8778625954198473
vulcand/vulcand,1.5978776101661591
google/netstack,0.9199841683297041
sourcegraph/sourcegraph,1.312564138963515
fatih/structs,0.0
streadway/amqp,1.2951670704564733
zxh0/jvm.go,0.7916666666666666
buger/jsonparser,1.0690582088103584
oklog/oklog,0.8755980861244019
heroiclabs/nakama,0.7522535728805438
dominikh/go-tools,1.3938665410548623
gilbertchen/duplicacy,0.37616248671157637
imgproxy/imgproxy,0.0
99designs/aws-vault,1.7758232683752508
disintegration/imaging,1.260951445699044
olebedev/go-starter-kit,0.8333333333333334
mitchellh/mapstructure,0.934640522875817
kubernetes/client-go,2.4018220228720817
lni/dragonboat,0.0
sourcegraph/checkup,0.9798301194328133
h2non/imaginary,1.093806173875948
gobwas/ws,0.9452054794520548
NebulousLabs/Sia,2.396192454139395
hybridgroup/gocv,3.446281886442664
kgretzky/evilginx2,0.84
alecthomas/kingpin,1.308187359160249
prometheus/alertmanager,2.0366425018634793
nektos/act,0.8695652173913043
allegro/bigcache,0.3944771791852593
karan/joe,0.0
chrislusf/glow,1.0454812242091425
anthonynsimon/bild,0.0
iron-io/functions,1.4990500414537298
open-policy-agent/opa,3.0357417388340657
jingweno/ccat,0.908256880733945
mholt/certmagic,0.0
libp2p/go-libp2p,1.5081593010325705
pion/webrtc,1.6299721457302923
ksimka/go-is-not-good,0.0
google/syzkaller,3.92601056814651
operator-framework/operator-sdk,1.1846621780847242
c-bata/go-prompt,0.921311475409836
hashicorp/hcl,1.2498323905396147
siddontang/go-mysql-elasticsearch,0.8813559322033898
google/wire,0.6500158930034132
koding/kite,1.5344660834789132
rcrowley/go-metrics,1.254125737995198
mholt/archiver,0.8333333333333334
schollz/croc,2.2345293213499953
monochromegane/the_platinum_searcher,1.9916870527831347
nlopes/slack,1.3368303308306864
rs/zerolog,0.8947368421052632
faiface/pixel,2.72407345008268
mailgun/godebug,0.9313725490196079
d4l3k/go-pry,0.9340659340659341
googleforgames/agones,1.995188628948635
remind101/empire,1.8364604702779248
golang/oauth2,1.436435918566557
soundcloud/roshi,0.776173285198556
kelseyhightower/envconfig,0.5047353618156032
fogleman/ln,0.0
360EntSecGroup-Skylar/goreporter,0.0
kubernetes-retired/heapster,1.9156914572849635
pquerna/ffjson,0.8663451613052946
kubernetes/autoscaler,2.53102203519114
nats-io/nats.go,2.0733467017445237
tidwall/buntdb,0.8878504672897196
panjf2000/ants,0.0
Masterminds/squirrel,1.7030418495661568
genuinetools/img,1.2109641711698287
go-gomail/gomail,0.0
kahing/goofys,1.6095582395361365
aquasecurity/trivy,1.4734902807128818
campoy/go-tooling-workshop,0.0
drk1wi/Modlishka,0.0
Jeiwan/blockchain_go,0.0
volatiletech/sqlboiler,1.5351462478522402
ovh/cds,1.2503034016924133
go-mgo/mgo,2.12076977447071
coreos/fleet,2.273587730038311
whalebrew/whalebrew,0.5433070866141733
parnurzeal/gorequest,1.6834180787988666
wcharczuk/go-chart,0.0
sorintlab/stolon,1.3602823254079008
gobuffalo/packr,0.9471698113207547
goinaction/code,0.0
thewhitetulip/web-dev-golang-anti-textbook,1.5239289946575139
fullstorydev/grpcurl,0.0
lxc/lxd,2.6415426193110605
kubernetes-sigs/external-dns,1.9386504836955716
knative/serving,2.0713242640144722
HouzuoGuo/tiedot,1.8199752848131765
syncsynchalt/illustrated-tls,0.0
tinode/chat,1.3873582771647879
fvbock/endless,0.7735849056603774
gpmgo/gopm,0.6831683168316832
pksunkara/alpaca,0.8757062146892656
knqyf263/pet,0.84
golang/glog,0.15789473684210525
OJ/gobuster,0.6334301875247224
Ne0nd0g/merlin,1.7239815494762243
gravityblast/fresh,0.21739130434782608
containernetworking/cni,1.2747243337593186
nlf/dlite,0.954954954954955
spf13/afero,0.9825031086634143
containers/buildah,1.7123102513991635
markbates/goth,1.3171980590582637
docker/libchan,0.7133502531814618
gravitational/teleconsole,0.8333333333333334
unknwon/go-web-foundation,0.0
joho/godotenv,0.7872340425531915
cweill/gotests,1.4529201406659484
xtaci/kcp-go,0.9709208400646203
jdkato/prose,0.9285714285714286
kubernetes-retired/contrib,2.2933870317450316
coocood/freecache,0.9722718241315028
genuinetools/binctr,0.0
mlabouardy/komiser,0.0
vuvuzela/vuvuzela,0.8064516129032258
m3db/m3,1.1863415768499033
rakyll/statik,0.0
esimov/pigo,0.0
mikespook/Learning-Go-zh-cn,1.719895188536538
mattes/migrate,2.0335999804979434
AdguardTeam/AdGuardHome,1.136070208634827
benmanns/goworker,0.8938053097345132
jinzhu/now,0.0
virtual-kubelet/virtual-kubelet,1.223666330239655
mailru/easyjson,1.2128306403966367
runatlantis/atlantis,2.367681027817569
xo/xo,0.9010989010989011
chrislusf/gleam,1.6486710431010136
buzzfeed/sso,1.0173412931366046
go-resty/resty,0.9644128113879004
ReactiveX/RxGo,1.1841975732621524
mehrdadrad/mylg,0.918622848200313
FiloSottile/Heartbleed,1.1183022847155415
docker/swarmkit,1.8731873242996648
astaxie/bat,0.0
OWASP/Amass,1.6408527236832418
constabulary/gb,2.1626947720953775
GoogleContainerTools/container-diff,1.4353211970759405
docker/deploykit,1.6346933113652307
ilanyu/ReverseProxy,0.0
grpc-ecosystem/go-grpc-middleware,0.0
nfnt/resize,0.23076923076923078
containous/yaegi,1.1963318777102836
afex/hystrix-go,1.2246639152576213
itsabot/itsabot,0.0
maruel/panicparse,0.0
TrueFurby/go-callvis,0.9259259259259259
jackc/pgx,2.6828802912931553
google/mtail,1.9609761691716905
mvdan/sh,1.6998857746736133
Humpheh/goboy,0.0
linkedin/Burrow,1.1384958671449679
hajimehoshi/ebiten,0.0
uber/aresdb,0.6180668985428351
gernest/utron,0.9142857142857143
prest/prest,1.460293512571066
fagongzi/gateway,1.4791442842029534
aws/aws-lambda-go,0.8941883480054932
sourcegraph/thyme,0.8153846153846154
jetstack/kube-lego,1.5287617940107312
mmatczuk/go-http-tunnel,0.9205298013245033
sideshow/apns2,1.1859133748062622
aquasecurity/kube-bench,1.7656709209900165
Jeffail/benthos,2.3579342290452976
cri-o/cri-o,1.785971628969242
boramalper/magnetico,1.5339299776947408
ChimeraCoder/gojson,0.605094501008185
