reponame,time_avg,n
boramalper/magnetico,51.0,5
ChimeraCoder/gojson,30.333333333333332,3
gopherdata/gophernotes,78.25,4
goraft/raft,104.6,5
emitter-io/emitter,121.5,4
shiyanhui/dht,27.0,1
digitalocean/doctl,64.73913043478261,23
divan/txqr,101.0,1
TarsCloud/TarsGo,62.5,2
go-task/task,93.83333333333333,6
opentracing/opentracing-go,47.166666666666664,6
goproxy/goproxy.cn,110.0,1
kardianos/service,46.0,2
nginxinc/kubernetes-ingress,58.625,8
siddontang/go-mysql,54.8,5
devopsfaith/krakend,77.66666666666667,6
chaosblade-io/chaosblade,25.666666666666668,3
theupdateframework/notary,101.72727272727273,22
cheggaaa/pb,95.5,2
maxmcd/webtty,34.0,1
purpleidea/mgmt,114.2,10
aQuaYi/LeetCode-in-Go,1488.0,1
solo-io/unik,45.5,6
google/codesearch,14.5,2
googleapis/google-api-go-client,48.0,17
pressly/sup,107.0,2
volatiletech/authboss,89.0,4
gwuhaolin/livego,11.0,1
cortexproject/cortex,89.34615384615384,26
distribworks/dkron,352.0,5
fogleman/gg,76.0,2
mgechev/revive,127.0,2
GoogleCloudPlatform/terraformer,53.0,10
liamg/aminal,113.66666666666667,3
dustin/go-humanize,45.5,2
dunglas/vulcain,33.0,2
jedisct1/piknik,203.0,1
DATA-DOG/go-sqlmock,29.4,5
projectcontour/contour,150.42857142857142,14
yahoo/gryffin,21.0,1
upper/db,336.5,4
goodrain/rainbond,380.375,8
ouqiang/gocron,286.0,1
360EntSecGroup-Skylar/ElasticHD,59.0,1
floyernick/Data-Structures-and-Algorithms,39.0,1
getgauge/gauge,110.42105263157895,19
mholt/timeliner,34.0,1
42wim/matterbridge,140.375,8
mickael-kerjean/filestash,510.0,1
moby/buildkit,124.75,16
shen100/golang123,357.0,1
jgrahamc/httpdiff,27.0,1
arachnys/athenapdf,42.0,2
hyperhq/hyperd,81.92857142857143,14
golang/net,39.80952380952381,21
twpayne/chezmoi,561.0,2
ashleymcnamara/gophers,107.0,1
google/trillian,133.13333333333333,15
rtr7/router7,187.0,1
henrylee2cn/teleport,426.5,2
pilosa/pilosa,317.90909090909093,11
tdewolff/minify,543.0,2
Ullaakut/cameradar,104.0,1
moncho/dry,464.5,2
elastic/go-elasticsearch,97.0,2
zalando/skipper,58.04,25
go-qml/qml,316.0,1
skynetservices/skynet-archive,134.57142857142858,7
EDDYCJY/go-gin-example,102.0,1
googleapis/google-cloud-go,72.80555555555556,36
argoproj/argo-cd,165.33333333333334,9
hellofresh/janus,215.625,8
kubernetes-sigs/kubebuilder,59.666666666666664,18
unidoc/unioffice,71.8,5
gopher-os/gopher-os,288.0,1
olekukonko/tablewriter,23.666666666666668,3
howeyc/fsnotify,86.5,2
justinas/alice,27.5,2
rcrowley/goagain,55.0,1
mpolden/echoip,221.0,1
minishift/minishift,67.10526315789474,19
yunabe/lgo,157.0,1
pulumi/kubespy,13.0,2
ahmetb/go-linq,45.0,3
codesenberg/bombardier,71.0,1
shunfei/cronsun,56.666666666666664,3
GoesToEleven/golang-web-dev,541.0,1
Terry-Mao/gopush-cluster,322.0,1
redspread/spread,153.5,2
uber/makisu,51.25,4
chanxuehong/wechat,27.0,1
shen100/wemall,65.0,1
src-d/gitbase,131.4,10
alash3al/sqler,65.0,1
weaveworks/eksctl,75.9,30
willnorris/imageproxy,132.0,2
fireworq/fireworq,28.75,4
kabukky/journey,80.0,2
alecthomas/chroma,71.66666666666667,3
prometheus/client_golang,46.78947368421053,19
influxdata/kapacitor,119.75,12
nareix/joy4,6.0,1
rapidloop/rtop,20.0,1
intelsdi-x/snap,79.35483870967742,31
kubeedge/kubeedge,41.666666666666664,27
brigadecore/brigade,73.83333333333333,18
solo-io/gloo,50.53846153846154,13
PuerkitoBio/gocrawl,102.5,2
solo-io/gloo,50.53846153846154,13
gocircuit/circuit,426.0,1
fogleman/pt,465.0,1
segmentio/kafka-go,41.25,8
coreos/torus,82.5,10
cube2222/octosql,136.0,3
francoispqt/gojay,275.0,1
marcusolsson/tui-go,30.5,2
xmge/gonote,134.0,1
isacikgoz/gitin,99.0,1
hashicorp/go-plugin,33.6,5
kubernetes-incubator/external-storage,61.80769230769231,26
gravitational/workshop,20.2,5
convox/rack,240.89655172413794,29
google/btree,25.0,1
chaitin/xray,20.818181818181817,11
aptly-dev/aptly,220.625,8
feixiao/Distributed-Systems,55.0,2
senghoo/golang-design-pattern,40.0,1
whyrusleeping/gx,57.166666666666664,6
jwilder/docker-squash,54.0,1
go-telegram-bot-api/telegram-bot-api,32.875,8
GeertJohan/go.rice,12.833333333333334,6
arduino/arduino-cli,124.4,10
cdarwin/go-koans,14.0,1
Azure/golua,18.0,2
bxcodec/go-clean-arch,49.0,1
goadapp/goad,61.333333333333336,6
shopspring/decimal,13.6,5
elastic/logstash-forwarder,144.5,4
osrg/gobgp,118.53333333333333,15
zentures/surgemq,46.0,1
oklog/ulid,43.0,2
docker/cli,46.009433962264154,106
dzhou121/gonvim,193.0,1
swaggo/swag,61.2,5
facebookincubator/ent,141.0,2
kubernetes/kube-state-metrics,47.4,20
gdamore/tcell,63.5,2
GoogleCloudPlatform/golang-samples,30.52,25
vzex/dog-tunnel,71.5,2
golang/proposal,13.416666666666666,12
Shopify/go-lua,39.0,5
egonelbre/gophers,159.0,1
golang/example,10.0,1
liuchengxu/blockchain-tutorial,54.0,1
go-ini/ini,216.0,1
dunglas/mercure,113.5,2
liangdas/mqant,210.0,1
hlandau/acmetool,390.0,1
confluentinc/confluent-kafka-go,71.0,3
containers/skopeo,84.92307692307692,13
bradfitz/http2,106.33333333333333,3
s-rah/onionscan,37.666666666666664,3
segmentio/ksuid,44.0,1
magefile/mage,117.0,1
jasonlvhit/gocron,18.833333333333332,6
kubernetes/test-infra,123.57142857142857,210
subfinder/subfinder,99.0,4
matcornic/hermes,28.0,2
rexray/rexray,296.7142857142857,7
zquestz/s,101.66666666666667,3
gocql/gocql,47.21875,32
GoogleChromeLabs/simplehttp2server,61.0,1
uber-common/cpustat,40.0,2
MariaLetta/free-gophers-pack,11.0,1
googleforgames/open-match,89.16666666666667,6
Jeffail/gabs,50.0,1
kubernetes/kubeadm,51.333333333333336,9
chain/chain,208.1875,16
gopl-zh/gopl-zh.github.com,76.1,10
zachlatta/sshtron,36.333333333333336,3
pierrre/imageserver,674.0,1
hashicorp/memberlist,42.75,12
go-jira/jira,14.666666666666666,3
GoAdminGroup/go-admin,289.3333333333333,3
moul/assh,266.5,2
vmware-tanzu/sonobuoy,80.875,8
olahol/melody,35.5,2
nats-io/nats-streaming-server,224.0,6
mperham/inspeqtor,266.0,2
laher/goxc,88.0,3
census-instrumentation/opencensus-go,58.625,8
hpcloud/tail,13.4,5
golang/crypto,21.384615384615383,26
eth0izzle/shhgit,18.0,1
kubesphere/kubesphere,73.5,10
kiali/kiali,93.1,20
mkchoi212/fac,185.0,1
xyproto/algernon,1603.0,1
github/git-sizer,278.0,1
sipt/shuttle,77.0,2
skanehira/docui,64.8,5
awnumar/memguard,188.0,1
opencontainers/runtime-spec,55.04545454545455,22
ysrc/yulong-hids,38.666666666666664,3
sourcegraph/appdash,67.625,8
aws/amazon-ecs-agent,85.18181818181819,22
gosuri/uiprogress,6.0,1
raviqqe/muffet,180.0,1
natefinch/lumberjack,55.0,1
ImVexed/muon,37.0,2
arnauddri/algorithms,134.0,1
divan/expvarmon,105.0,1
gogf/gf,219.63636363636363,11
talos-systems/talos,184.16666666666666,6
fsouza/go-dockerclient,62.46153846153846,26
XiaoMi/naftis,52.5,2
hu17889/go_spider,29.25,4
alecthomas/participle,177.0,1
silenceper/wechat,35.8,5
gokrazy/gokrazy,57.0,1
kubicorn/kubicorn,55.52173913043478,23
labstack/armor,85.0,2
kubevirt/kubevirt,114.42,50
rancher/rio,156.33333333333334,6
op/go-logging,71.0,1
jessevdk/go-flags,47.5,8
rancher/rke,63.411764705882355,17
openshift/osin,38.666666666666664,3
tenta-browser/tenta-dns,28.5,2
caffix/amass,182.2,5
kubernetes-sigs/krew,49.0,5
helm/chartmuseum,51.42857142857143,7
vulcand/oxy,29.0,5
nanomsg/mangos-v1,76.0,3
flosch/pongo2,409.0,1
golang/vgo,43.25,4
txn2/kubefwd,130.0,1
ory/ladon,58.0,1
olivia-ai/olivia,166.5,2
sandglass/sandglass,262.0,1
nsqio/go-nsq,125.75,4
go-bootstrap/go-bootstrap,92.0,1
sciter-sdk/go-sciter,28.0,2
ory/oathkeeper,94.5,2
kata-containers/runtime,62.357142857142854,28
gokcehan/lf,7.0,2
mikefarah/yq,40.333333333333336,3
motemen/ghq,99.8,5
bitnami-labs/sealed-secrets,57.166666666666664,6
dreamans/syncd,107.0,2
roboll/helmfile,49.0,8
iamduo/workq,16.0,1
google/novm,186.0,1
openshift/source-to-image,35.80952380952381,21
mattn/go-gtk,75.0,13
apex/gh-polls,87.0,1
docker/libnetwork,83.68,25
juju/juju,547.3676470588235,68
cespare/reflex,49.5,2
valyala/quicktemplate,230.0,1
serverless/event-gateway,36.0,7
AlecAivazis/survey,345.0,1
asobti/kube-monkey,35.75,4
gopherjs/vecty,56.6,5
rubenv/sql-migrate,44.5,4
thecodingmachine/gotenberg,150.0,2
TheAlgorithms/Go,12.333333333333334,3
SpectoLabs/hoverfly,264.5833333333333,12
youtube/doorman,33.5,2
rethinkdb/rethinkdb-go,224.0,4
ravenac95/sudolikeaboss,36.0,1
ThreeDotsLabs/watermill,47.6,5
crossplaneio/crossplane,103.76923076923077,13
AutoSpotting/AutoSpotting,60.5,6
mmcloughlin/globe,46.0,1
dgraph-io/ristretto,30.0,5
studygolang/studygolang,96.0,5
levigross/grequests,95.0,1
gtank/cryptopasta,7.0,1
marcusolsson/goddd,6.0,1
cosmos/cosmos-sdk,123.81818181818181,44
instrumenta/kubeval,50.5,4
tj/mmake,24.5,2
henrylee2cn/faygo,395.0,1
google/keytransparency,199.25,8
spaceuptech/space-cloud,79.0,8
Qihoo360/poseidon,11.333333333333334,3
bouk/monkey,27.0,1
koding/koding,1475.5283018867924,53
eolinker/goku-api-gateway,120.0,1
schollz/hostyoself,79.0,1
gorilla/sessions,32.0,2
openfaas/faas-netes,58.45454545454545,11
d5/tengo,112.5,2
rodrigo-brito/gocity,72.0,1
inconshreveable/go-update,54.0,1
cenkalti/backoff,76.0,1
eBay/akutan,17.5,2
hashicorp/golang-lru,25.0,2
cortexlabs/cortex,198.75,4
unknwon/go-rock-libraries-showcases,86.0,1
utahta/pythonbrew,61.0,3
astaxie/gopkg,31.25,24
ok-borg/borg,55.666666666666664,3
asdine/storm,91.25,4
Jeffail/tunny,27.0,1
kryptco/kr,340.5,2
hashicorp/envconsul,19.857142857142858,7
tus/tusd,71.9090909090909,11
svent/sift,65.0,1
skydive-project/skydive,200.85,20
google/gapid,214.94117647058823,17
google/stenographer,81.6,5
eyebluecn/tank,135.5,2
icexin/gocraft,24.0,1
Masterminds/sprig,43.833333333333336,6
sylabs/singularity,226.1860465116279,43
barnybug/cli53,86.5,2
perlin-network/life,84.33333333333333,3
google/go-cmp,76.0,1
segmentio/chamber,27.4,5
chzyer/readline,194.0,1
gocraft/web,72.0,2
uber/cherami-server,31.5,6
neex/phuip-fpizdam,31.0,1
miniflux/miniflux,89.2,5
cosmos72/gomacro,1123.0,1
esimov/triangle,92.0,1
libgit2/git2go,34.1578947368421,19
montanaflynn/stats,13.0,4
dop251/goja,104.0,1
bcicen/grmon,41.0,1
google/uuid,11.5,2
lastbackend/lastbackend,276.57142857142856,7
cihub/seelog,40.5,4
StackExchange/dnscontrol,43.625,8
FiloSottile/whosthere,24.0,1
jingweno/godzilla,38.0,1
nanobox-io/nanobox,207.5,8
square/go-jose,47.111111111111114,9
ajstarks/svgo,343.0,1
hellogcc/100-gdb-tips,60.666666666666664,3
didip/tollbooth,122.0,1
hunterlong/statping,261.0,3
nanopack/yoke,53.666666666666664,3
ajvb/kala,58.0,6
google/periph,100.83333333333333,6
takama/daemon,83.0,3
thoas/go-funk,58.0,3
aerokube/selenoid,276.3333333333333,3
crazy-max/WindowsSpyBlocker,507.0,1
rancher/k3os,43.714285714285715,7
alexei-led/pumba,57.0,4
dave/jennifer,212.0,1
RichardKnop/go-oauth2-server,255.5,2
gocraft/dbr,49.333333333333336,3
derailed/popeye,173.0,1
liftbridge-io/liftbridge,262.5,2
mattn/gom,74.0,2
kisielk/errcheck,37.4,5
sofastack/sofa-mosn,129.26315789473685,19
openacid/slim,82.75,4
VictoriaMetrics/VictoriaMetrics,133.0,4
stripe/veneur,86.8,15
cpmech/gosl,1213.5,2
google/ko,33.0,1
cloudfoundry/cli,87.17241379310344,87
flant/werf,720.625,8
google/google-ctf,30.0,1
ochinchina/supervisord,36.25,4
xeipuuv/gojsonschema,13.0,6
jpillora/overseer,39.0,1
cuelang/cue,112.0,5
davrodpin/mole,29.333333333333332,3
kedacore/keda,39.2,10
securitywithoutborders/hardentools,126.5,2
DMarby/picsum-photos,326.0,1
xiaojiaqi/10billionhongbaos,10.0,1
vektra/mockery,24.571428571428573,7
aws/amazon-ecs-cli,58.166666666666664,12
cznic/ql,22.5,2
reviewdog/reviewdog,176.6,5
cortesi/modd,127.0,2
hashicorp/go-memdb,16.0,4
rs/xid,26.0,1
docker/app,57.19047619047619,21
microcosm-cc/bluemonday,49.5,4
nytlabs/streamtools,229.0,6
elliotchance/c2go,109.5,10
ssllabs/ssllabs-scan,71.33333333333333,3
thrasher-corp/gocryptotrader,105.11111111111111,9
go-chassis/go-chassis,55.1,10
kythe/kythe,172.125,16
kubernetes-sigs/metrics-server,32.8,5
caarlos0/env,30.6,5
jtblin/kube2iam,15.833333333333334,6
flashmob/go-guerrilla,28.75,4
unrolled/render,13.25,4
funny/link,446.0,1
ory/fosite,59.6,5
matthewmueller/joy,323.0,1
sjqzhang/go-fastdfs,287.0,1
metrue/fx,85.71428571428571,7
ugorji/go,623.0,1
grammarly/rocker,134.75,4
ddollar/forego,78.5,2
justjanne/powerline-go,27.6,5
rs/cors,18.0,1
xiaonanln/goworld,1234.0,1
Yelp/dockersh,141.5,2
mit-pdos/biscuit,145.15837104072398,221
malfunkt/hyperfox,63.0,1
orcaman/concurrent-map,13.666666666666666,3
julienschmidt/go-http-routing-benchmark,53.5,2
muesli/smartcrop,48.666666666666664,3
cloudnativelabs/kube-router,46.0,8
gonum/plot,77.875,8
panjf2000/gnet,214.0,1
rakyll/gom,112.0,1
glycerine/zygomys,229.25,4
samuel/go-zookeeper,37.5,4
dnote/dnote,45.5,2
deckarep/golang-set,19.75,4
evilsocket/xray,5.0,1
dreadl0ck/netcap,257.0,1
coreos/etcd-operator,282.8888888888889,9
hyper0x/Golang_Puzzlers,49.0,1
ContainerSolutions/k8s-deployment-strategies,7.0,1
unrolled/secure,34.0,1
square/certstrap,12.666666666666666,6
disintegration/gift,52.0,2
perlin-network/noise,110.83333333333333,6
filecoin-project/go-filecoin,72.44827586206897,29
helm/monocular,38.5,8
miguelmota/cointop,407.0,1
prometheus/blackbox_exporter,26.857142857142858,7
klauspost/compress,194.5,2
juju/ratelimit,35.0,1
XiaoMi/Gaea,20.5,2
go-echarts/go-echarts,60.0,2
writeas/writefreely,116.2,5
antonmedv/red,11.0,1
lovoo/goka,80.0,4
solo-io/squash,46.2,5
mattn/goreman,67.0,3
huichen/sego,22.5,2
tidwall/summitdb,69.0,1
haxpax/gosms,35.5,2
galeone/tfgo,47.5,2
songtianyi/wechat-go,8.0,1
kubernetes-sigs/aws-iam-authenticator,22.625,8
monochromegane/go_design_pattern,36.0,1
shiyanhui/hero,20.5,2
appc/spec,44.55,20
go-zoo/bone,70.0,3
umputun/remark,222.88888888888889,9
nwidger/nintengo,66.25,4
oniony/TMSU,574.0,2
yyyar/gobetween,38.5,6
gardener/gardener,79.91428571428571,35
stianeikeland/go-rpio,28.0,3
devfeel/dotweb,127.0,5
rakyll/coop,14.0,1
snapcore/snapd,550.344262295082,61
gliderlabs/ssh,23.333333333333332,3
cloudflare/tableflip,26.0,1
google/martian,31.857142857142858,7
nicksnyder/go-i18n,88.66666666666667,3
kubernetes-sigs/aws-alb-ingress-controller,81.88235294117646,17
cloudflare/redoctober,28.555555555555557,9
adammck/terraform-inventory,45.5,2
weaveworks/flagger,199.33333333333334,6
sanathp/statusok,41.0,1
keybase/kbfs,361.57894736842104,19
bitfield/script,58.0,2
gocraft/work,39.666666666666664,3
guptarohit/asciigraph,20.5,2
rfjakob/gocryptfs,46.5,2
puma/puma-dev,26.25,4
wal-g/wal-g,38.0,13
faceair/youjumpijump,47.0,1
awslabs/aws-lambda-container-image-converter,35.0,2
terraform-providers/terraform-provider-azurerm,77.11702127659575,94
minio/mc,112.76923076923077,13
GoogleContainerTools/container-structure-test,41.666666666666664,3
keel-hq/keel,116.1,10
uber-go/ratelimit,5.0,1
matryer/vice,26.333333333333332,3
tylerb/graceful,24.0,5
sourcegraph/webloop,33.0,1
hacklcx/HFish,37.5,2
gavv/httpexpect,165.0,2
jsha/minica,17.0,1
lindb/lindb,42.5,4
docopt/docopt.go,30.333333333333332,3
tylertreat/BoomFilters,58.0,2
rancher/convoy,143.6,5
kidoman/embd,51.6,5
wailsapp/wails,246.0,2
imroc/req,145.0,1
banzaicloud/pipeline,149.30434782608697,23
0xAX/go-algorithms,14.5,2
bmizerany/pat,22.0,2
hyperledger-archives/fabric,84.62068965517241,29
baetyl/baetyl,89.57142857142857,7
vmware/govmomi,93.94444444444444,18
radondb/radon,70.0,4
aktau/github-release,82.0,1
facebookarchive/inject,61.0,1
docker/compose-on-kubernetes,27.714285714285715,7
pdfcpu/pdfcpu,210.0,1
brutella/hc,225.0,2
coreos/go-systemd,36.63636363636363,11
sony/sonyflake,15.0,1
GoogleCloudPlatform/continuous-deployment-on-kubernetes,36.666666666666664,3
gojp/goreportcard,67.0,6
mozilla/mig,188.5,10
getantibody/antibody,296.5,2
isacikgoz/gitbatch,287.0,1
gojek/heimdall,19.0,5
jordan-wright/email,35.0,3
anaskhan96/soup,52.5,2
go-ozzo/ozzo-validation,38.0,1
eko/monday,93.0,1
albrow/fo,93.0,1
rudderlabs/rudder-server,75.0,1
genuinetools/reg,67.0,5
changkun/go-under-the-hood,267.0,1
shawn1m/overture,72.0,2
go-oauth2/oauth2,85.0,2
hashicorp/yamux,33.5,2
muesli/cache2go,81.0,2
s3git/s3git,132.0,1
gophercon/2017-talks,30.0,2
bradfitz/gomemcache,59.0,1
thoas/picfit,210.0,2
drakkan/sftpgo,13.0,1
djhworld/simple-computer,26.0,1
michaelmacinnis/oh,961.0,1
chai2010/go2-book,41.0,1
ehazlett/stellar,180.0,1
go-ego/gse,267.0,1
go-opencv/go-opencv,20.833333333333332,6
tidwall/redcon,65.0,1
EngoEngine/engo,61.23076923076923,13
gocelery/gocelery,50.0,1
bilibili/overlord,81.0,3
smallstep/certificates,158.5,4
trustmaster/goflow,144.0,1
mingrammer/go-web-framework-stars,146.0,2
apache/dubbo-go,66.33333333333333,9
uniqush/uniqush-push,58.0,3
appscode/voyager,145.0,8
terraform-linters/tflint,163.6,5
mcuadros/ofelia,31.0,2
docker/libcontainer,62.05,20
c-bata/kube-prompt,203.0,1
GetStream/vg,140.0,2
requilence/integram,281.0,1
ericfreese/rat,55.0,1
mmcloughlin/avo,253.0,1
dghubble/gologin,95.0,1
pkg/profile,61.0,1
iov-one/weave,256.7142857142857,7
jrallison/go-workers,52.0,2
campoy/justforfunc,49.0,1
slackhq/go-audit,36.25,4
y0ssar1an/q,59.5,2
bradleyjkemp/memviz,30.0,1
u-root/u-root,72.2,30
GoBelieveIO/im_service,421.0,1
boyter/scc,260.3333333333333,3
mgartner/pg_flame,33.0,1
antonholmquist/jason,126.0,1
nhooyr/websocket,413.0,1
lonng/nano,186.0,1
sgreben/jp,50.0,1
Bytom/bytom,58.53846153846154,13
halfrost/LeetCode-Go,344.0,1
denisenkom/go-mssqldb,31.555555555555557,9
adrianco/spigo,168.5,2
tleyden/open-ocr,33.0,1
soheilhy/cmux,50.5,2
pusher/oauth2_proxy,33.95,20
sensepost/ruler,46.0,1
submariner-io/submariner,32.111111111111114,9
shyiko/jabba,329.5,2
rach/pome,81.0,1
shadowsocks/v2ray-plugin,37.5,2
looterz/grimd,42.5,2
compose/transporter,63.666666666666664,6
facette/facette,449.0,3
bitnami-labs/kubewatch,21.857142857142858,7
xtaci/gonet,19.0,1
segmentio/terraform-docs,37.333333333333336,3
smallnest/go-web-framework-benchmark,45.333333333333336,3
kubernetes-incubator/kube-aws,43.30555555555556,36
bemasher/rtlamr,361.0,1
crosbymichael/skydock,73.0,1
kylesliu/awesome-golang-leetcode,107.33333333333333,3
thedevsaddam/gojsonq,47.0,2
clipperhouse/gen,158.0,4
sevlyar/go-daemon,107.0,1
JoelOtter/termloop,50.0,1
dghubble/sling,77.0,1
mop-tracker/mop,78.5,2
bwmarrin/discordgo,34.9,10
awslabs/amazon-ecr-credential-helper,38.333333333333336,3
tinylib/msgp,81.25,4
xiaoming2028/FreeNet,39.0,1
Terry-Mao/bfs,208.0,1
abh/geodns,84.0,5
joyent/containerpilot,78.125,8
markphelps/flipt,303.0,1
hprose/hprose-golang,112.0,2
cheekybits/genny,10.333333333333334,3
openkruise/kruise,15.333333333333334,9
brocaar/chirpstack-network-server,880.0,1
juju/errors,21.0,3
pressly/goose,67.4,5
dshearer/jobber,197.5,2
cdipaolo/goml,74.5,2
nadoo/glider,6.0,1
mitchellh/cli,55.5,2
Azure/acs-engine,42.31372549019608,51
ksonnet/ksonnet,105.7,10
cloud66-oss/habitus,43.166666666666664,6
dchest/captcha,149.0,1
uber-go/dig,30.5,6
oliver006/redis_exporter,60.5,4
pravj/geopattern,48.0,1
gographics/imagick,56.5,4
fatih/pool,38.0,1
tucnak/telebot,47.0,5
gosuri/uilive,5.0,2
splitsh/lite,39.0,1
FairwindsOps/polaris,48.142857142857146,7
rlmcpherson/s3gof3r,123.0,2
bcicen/slackcat,161.0,1
google/skicka,24.5,2
lileio/lile,67.5,2
ChimeraCoder/anaconda,42.8,5
golang/tour,40.25,8
alicebob/miniredis,121.0,1
go-llvm/llgo,179.5,4
pengwynn/flint,47.0,2
justone/dockviz,45.5,2
justinas/nosurf,117.0,1
hanwen/go-fuse,411.25,4
jondot/goweight,13.0,1
